id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
369,22.74,Tops & Tees,Product 369,Wrangler,51.66,Women,SKU00369,9
370,60.92,Swim,Product 370,Levi's,127.75,Women,SKU00370,6
371,42.96,Tops & Tees,Product 371,Nike,108.58,Men,SKU00371,2
372,47.78,Accessories,Product 372,Adidas,123.99,Men,SKU00372,10
373,75.37,Sweaters,Product 373,Wrangler,217.85,Women,SKU00373,3
374,89.65,Tops & Tees,Product 374,Adidas,165.41,Men,SKU00374,7
375,77.49,Shorts,Product 375,Wrangler,131.47,Women,SKU00375,5
376,50.23,Accessories,Product 376,Hanes,136.42,Men,SKU00376,8
377,82.29,Sweaters,Product 377,Carhartt,223.22,Women,SKU00377,5
378,37.43,Shorts,Product 378,Levi's,77.99,Women,SKU00378,9
379,28.38,Jeans,Product 379,Columbia,56.05,Men,SKU00379,7
380,9.47,Jeans,Product 380,Wrangler,15.33,Men,SKU00380,3
381,10.62,Shorts,Product 381,Levi's,23.01,Men,SKU00381,5
382,80.65,Jeans,Product 382,Adidas,217.98,Women,SKU00382,5
383,61.42,Outerwear & Coats,Product 383,Calvin Klein,158.91,Women,SKU00383,9
384,21.49,Outerwear & Coats,Product 384,Columbia,43.04,Men,SKU00384,10
385,73.69,Swim,Product 385,Nike,173.2,Women,SKU00385,4
386,87.51,Swim,Product 386,Calvin Klein,239.49,Women,SKU00386,6
387,87.36,Shorts,Product 387,Calvin Klein,210.12,Women,SKU00387,3
388,14.03,Tops & Tees,Product 388,Hanes,29.86,Women,SKU00388,2
389,55.58,Outerwear & Coats,Product 389,Hanes,121.13,Men,SKU00389,1
390,16.0,Sweaters,Product 390,Hanes,46.1,Women,SKU00390,3
391,73.77,Jeans,Product 391,Nike,199.98,Men,SKU00391,3
392,62.48,Tops & Tees,Product 392,Carhartt,153.65,Men,SKU00392,2
393,81.37,Tops & Tees,Product 393,Columbia,240.91,Men,SKU00393,7
394,45.99,Accessories,Product 394,Calvin Klein,79.62,Women,SKU00394,10
395,10.21,Tops & Tees,Product 395,Carhartt,20.28,Women,SKU00395,2
396,27.59,Jeans,Product 396,Nike,52.31,Women,SKU00396,2
397,43.38,Swim,Product 397,Hanes,124.55,Women,SKU00397,5
398,16.05,Swim,Product 398,Hanes,43.96,Men,SKU00398,9
399,37.0,Outerwear & Coats,Product 399,Nike,78.86,Men,SKU00399,10
400,54.27,Swim,Product 400,Wrangler,142.68,Women,SKU00400,10
401,58.5,Sweaters,Product 401,Nike,145.96,Women,SKU00401,8
402,36.3,Sweaters,Product 402,Levi's,73.26,Men,SKU00402,1
403,22.6,Swim,Product 403,Wrangler,36.24,Men,SKU00403,6
404,33.52,Shorts,Product 404,Adidas,92.66,Women,SKU00404,5
405,83.58,Sweaters,Product 405,Hanes,190.02,Men,SKU00405,9
406,82.31,Tops & Tees,Product 406,Calvin Klein,166.35,Men,SKU00406,4
407,9.69,Sweaters,Product 407,Carhartt,20.63,Men,SKU00407,6
408,63.05,Sweaters,Product 408,Adidas,114.02,Men,SKU00408,2
409,26.42,Swim,Product 409,Columbia,61.73,Women,SKU00409,10
410,74.86,Tops & Tees,Product 410,Levi's,133.82,Men,SKU00410,5
411,5.2,Sweaters,Product 411,Carhartt,10.1,Women,SKU00411,7
412,40.54,Accessories,Product 412,Adidas,67.8,Women,SKU00412,9
413,8.44,Jeans,Product 413,Columbia,24.91,Men,SKU00413,5
414,21.73,Jeans,Product 414,Wrangler,37.57,Men,SKU00414,5
415,23.68,Outerwear & Coats,Product 415,Hanes,43.55,Men,SKU00415,1
416,45.79,Accessories,Product 416,Levi's,108.44,Men,SKU00416,1
417,56.9,Outerwear & Coats,Product 417,Wrangler,124.76,Men,SKU00417,6
418,69.44,Swim,Product 418,Calvin Klein,150.63,Men,SKU00418,3
419,78.28,Swim,Product 419,Adidas,152.03,Men,SKU00419,6
420,85.02,Tops & Tees,Product 420,Adidas,137.49,Men,SKU00420,1
421,19.88,Jeans,Product 421,Nike,58.5,Women,SKU00421,6
422,88.01,Shorts,Product 422,Wrangler,252.94,Men,SKU00422,6
423,82.73,Tops & Tees,Product 423,Nike,165.76,Men,SKU00423,2
424,28.88,Tops & Tees,Product 424,Calvin Klein,62.53,Women,SKU00424,1
425,12.87,Jeans,Product 425,Carhartt,26.35,Men,SKU00425,1
426,12.21,Swim,Product 426,Hanes,26.79,Men,SKU00426,4
427,77.0,Accessories,Product 427,Nike,137.08,Men,SKU00427,5
428,7.21,Sweaters,Product 428,Adidas,20.31,Men,SKU00428,3
429,61.18,Jeans,Product 429,Wrangler,130.25,Men,SKU00429,2
430,86.64,Shorts,Product 430,Calvin Klein,241.77,Men,SKU00430,4
431,26.02,Sweaters,Product 431,Adidas,49.78,Men,SKU00431,4
432,23.59,Tops & Tees,Product 432,Wrangler,43.74,Women,SKU00432,2
433,72.51,Tops & Tees,Product 433,Adidas,190.42,Women,SKU00433,6
434,75.59,Outerwear & Coats,Product 434,Carhartt,156.21,Men,SKU00434,5
435,19.97,Outerwear & Coats,Product 435,Carhartt,53.55,Women,SKU00435,10
436,42.07,Swim,Product 436,Calvin Klein,77.52,Women,SKU00436,7
437,20.63,Tops & Tees,Product 437,Calvin Klein,54.08,Women,SKU00437,4
438,41.6,Outerwear & Coats,Product 438,Columbia,102.97,Men,SKU00438,5
439,60.92,Accessories,Product 439,Wrangler,112.6,Women,SKU00439,4
440,34.63,Swim,Product 440,Levi's,71.63,Men,SKU00440,7
441,88.44,Outerwear & Coats,Product 441,Wrangler,242.3,Men,SKU00441,5
442,45.96,Outerwear & Coats,Product 442,Nike,97.33,Men,SKU00442,9
443,9.21,Outerwear & Coats,Product 443,Hanes,18.61,Women,SKU00443,8
444,71.32,Sweaters,Product 444,Adidas,139.0,Women,SKU00444,3
445,28.81,Outerwear & Coats,Product 445,Carhartt,83.36,Women,SKU00445,7
446,65.89,Shorts,Product 446,Adidas,136.61,Women,SKU00446,3
447,69.52,Swim,Product 447,Wrangler,184.03,Men,SKU00447,5
448,21.42,Shorts,Product 448,Hanes,49.08,Men,SKU00448,5
449,12.88,Outerwear & Coats,Product 449,Levi's,23.43,Women,SKU00449,7
450,85.78,Shorts,Product 450,Adidas,176.16,Men,SKU00450,5
451,39.33,Sweaters,Product 451,Hanes,76.49,Men,SKU00451,7
452,71.49,Outerwear & Coats,Product 452,Nike,144.01,Women,SKU00452,10
453,58.95,Accessories,Product 453,Levi's,128.59,Women,SKU00453,4
454,61.95,Accessories,Product 454,Levi's,107.92,Men,SKU00454,8
455,11.6,Tops & Tees,Product 455,Calvin Klein,26.63,Men,SKU00455,8
456,15.25,Jeans,Product 456,Columbia,39.16,Men,SKU00456,2
457,27.55,Accessories,Product 457,Hanes,75.5,Men,SKU00457,9
458,81.08,Outerwear & Coats,Product 458,Carhartt,194.87,Men,SKU00458,3
459,88.21,Sweaters,Product 459,Hanes,237.92,Women,SKU00459,8
460,38.13,Sweaters,Product 460,Carhartt,105.76,Men,SKU00460,7
461,76.45,Sweaters,Product 461,Wrangler,202.66,Men,SKU00461,4
462,55.41,Outerwear & Coats,Product 462,Nike,146.69,Women,SKU00462,1
463,22.51,Swim,Product 463,Carhartt,51.95,Men,SKU00463,2
464,19.61,Outerwear & Coats,Product 464,Hanes,51.1,Women,SKU00464,2
465,57.36,Outerwear & Coats,Product 465,Calvin Klein,124.84,Men,SKU00465,4
466,32.26,Accessories,Product 466,Levi's,53.1,Women,SKU00466,2
467,18.6,Swim,Product 467,Calvin Klein,32.72,Men,SKU00467,10
468,55.74,Shorts,Product 468,Calvin Klein,148.6,Men,SKU00468,4
469,23.47,Sweaters,Product 469,Carhartt,44.63,Women,SKU00469,8
470,60.48,Tops & Tees,Product 470,Carhartt,141.94,Men,SKU00470,5
471,7.92,Accessories,Product 471,Carhartt,13.65,Men,SKU00471,2
472,78.39,Outerwear & Coats,Product 472,Adidas,129.56,Women,SKU00472,9
473,11.84,Outerwear & Coats,Product 473,Calvin Klein,35.11,Men,SKU00473,1
474,8.09,Sweaters,Product 474,Nike,23.07,Men,SKU00474,3
475,49.55,Swim,Product 475,Hanes,138.47,Men,SKU00475,7
476,82.77,Jeans,Product 476,Levi's,233.96,Men,SKU00476,4
477,29.11,Jeans,Product 477,Adidas,57.08,Women,SKU00477,5
478,51.6,Tops & Tees,Product 478,Calvin Klein,97.7,Men,SKU00478,2
479,40.59,Shorts,Product 479,Columbia,97.08,Men,SKU00479,8
480,76.01,Accessories,Product 480,Levi's,143.47,Women,SKU00480,1
481,10.87,Swim,Product 481,Columbia,18.9,Men,SKU00481,8
482,13.98,Tops & Tees,Product 482,Levi's,33.78,Women,SKU00482,1
483,89.69,Sweaters,Product 483,Columbia,227.51,Men,SKU00483,3
484,87.48,Accessories,Product 484,Levi's,175.4,Men,SKU00484,3
485,76.27,Outerwear & Coats,Product 485,Carhartt,155.89,Women,SKU00485,2
486,70.44,Accessories,Product 486,Adidas,208.34,Women,SKU00486,9
487,35.69,Outerwear & Coats,Product 487,Carhartt,100.08,Men,SKU00487,10
488,10.17,Accessories,Product 488,Levi's,16.81,Women,SKU00488,5
489,56.86,Jeans,Product 489,Hanes,100.7,Women,SKU00489,3
490,25.46,Tops & Tees,Product 490,Levi's,53.15,Men,SKU00490,2
491,65.06,Jeans,Product 491,Wrangler,123.93,Men,SKU00491,7
492,55.33,Outerwear & Coats,Product 492,Nike,118.62,Women,SKU00492,9
493,25.78,Sweaters,Product 493,Wrangler,47.28,Women,SKU00493,3
494,69.16,Outerwear & Coats,Product 494,Carhartt,197.16,Men,SKU00494,3
495,58.44,Sweaters,Product 495,Columbia,152.47,Men,SKU00495,8
496,54.2,Accessories,Product 496,Carhartt,126.22,Women,SKU00496,7
497,37.58,Sweaters,Product 497,Adidas,111.75,Men,SKU00497,6
498,13.11,Shorts,Product 498,Wrangler,28.92,Women,SKU00498,7
499,21.91,Sweaters,Product 499,Carhartt,62.25,Men,SKU00499,8
500,58.88,Jeans,Product 500,Columbia,107.07,Women,SKU00500,3
